Date,City,Province,Incident,Type of Violence,Age of Victim,Gender of Victim,Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),News Report Link,Follow-up?,Follow-up link,Headlines
"28th September, 2020",Bahawalpur,Punjab,Woman killed by husband,Murder,70,Female,,,,,https://www.thenews.com.pk/print/721499-bahawalpur-man-kills-70-year-old-wife-to-frame-neighbour-police,,,
"28th September, 2020",Sheikhupura,Punjab,A man allegedly shot his wife dead and later threw the body into a canal near Narang Mandi,Murder,,Female,,,,,https://www.dawn.com/news/1582020/husband-kills-wife-throws-body-into-canal,,,
"28th September, 2020",Rawalpindi,Punjab,A 14-year-old boy was allegedly sexually assaulted by three people in Kalar Syedan.,"Child abuse, sexual assault",14,Male,,,,,https://www.dawn.com/news/1582044/teenage-boy-sexually-assaulted,,,
"29th September, 2020",Buner,KP,Girl and her husband killed by father in law alongover honor after Tiktok video went viral.,Honor killing,17,Female,,,,,https://www.incpak.com/national/honor-killing-man-kills-son-daughter-in-law-tiktok-video/,,,
"29th September, 2020",Okara,Punjab,"A class-VII student ‘N’ of Wazir Colony would work part time [after school] to contribute to family income. On Sunday evening, suspect ‘N’ allegedly raped him at the nearby dispensary.","Child abuse, rape","Unknown, but minor",Male,,,,,https://www.dawn.com/news/1582142/three-minors-sexually-assaulted,,,
"29th September, 2020",Okara,Punjab,"Rafiabad locality near Ladehwal village, suspect ‘Ni’ allegedly sexually assaulted an eight-year-old boy ‘R.’ ","Child abuse, sexual assault",8,Male,,,,,https://www.dawn.com/news/1582142/three-minors-sexually-assaulted,,,
"29th September, 2020",Okara,Punjab,"village 5/GD, suspects ‘Y’ and ‘Na’ assaulted an 11-year-old girl ‘M.’","Child abuse, sexual assault",11,Female,,,,,https://www.dawn.com/news/1582142/three-minors-sexually-assaulted,,,
"1st October, 2020",Tharparkar,Sindh,A teenage girl committed suicide by jumping into a well in Dalan-Jo-Tarr village near Chelhar town when the suspects who had subjected her to gang-rape a year ago began to blackmail her after their release on bail.,"Suicide, gang rape",17,Female,,,,,https://www.dawn.com/news/1582511/gang-rape-victim-commits-suicide,,,
"1st October, 2020",Chunian,Punjab,"An eight-year-old boy, the son of a labourer, was allegedly raped and murdered in Chunian. ","Child abuse, rape, murder",8,Male,,,,,https://tribune.com.pk/story/2270615/woman-allegedly-gang-raped-murdered,,,
"2nd October, 2020","Gharo, Thatta district",Sindh,"The woman's husband, Muhammad Hanif Jat, had attempted to torch her alive after spraying oil over her body, police said. the victim told police in her statement that she had been subjected to physical abuse over the past four months ""for giving birth to a girl"".",Set ablaze,,Female,,,,,https://www.dawn.com/news/1362109/woman-burnt-for-giving-birth-to-daughter-in-critical-condition,,,
"2nd October, 2020",Lahore,Punjab,"A woman was gang-raped by two of her co-workers at a hotel. According to the survivor, the suspects, identified as Irfan and Hasan, took her to the hotel claiming to have gotten her an interview at an international organisation. They then sexually assaulted her in a hotel room.",Gang rape,,Female,,,,,https://mmnews.tv/lured-with-job-offer-woman-gang-raped-in-lahore/; https://tribune.com.pk/story/2266778/another-woman-gang-raped-in-city,,,
"3th October, 2020",Haripur,KP,A man killed his wife on the premises of the district courts,Murder,28,Female,,,,,https://www.dawn.com/news/1582882/man-kills-wife-in-haripur-district-courts,,,
"3rd October, 2020",Bahawalpur,Punjab,Woman dies by forced abortion after having been raped for 5 months by false tutor,Forced Abortion and Rape,21,Female,,,,,https://www.thenews.com.pk/latest/724090-forced-abortion-leads-to-death-of-allegedly-raped-bahawalpur-woman-police,,,
"4th October, 2020",Sahianwala,Punjab,"Woman lured with fake job on to a bus by suspicious persons, kidnapping attempt foiled as woman called motorway police",Attempted kidnapping,,Female,,,,,https://www.geo.tv/latest/311405-attempt-to-kidnap-woman-foiled-at-sahianwala-say-motorway-police,,,
"5th October, 2020",Bhawalpur,Punjab,A mother of two was raped by three people at 184-Murad village.,Rape,,Female,,,,,https://www.dawn.com/news/1583109/woman-boy-raped,,,
"5th October, 2020",Bhawalpur,Punjab,A boy was grazing his animals in the area touching the boundary of Cholistan at 152-Murad village (on the suburbs of Hasilpur city) when he was raped by a man.,Rape,"Unknown, but minor",Male,,,,,https://www.dawn.com/news/1583109/woman-boy-raped,,,
"5th October, 2020",Sheikhupura,Punjab,A four-year-old girl was allegedly raped at Tibba Alipur locality.,"Child abuse, rape",4,Female,,,,,https://www.dawn.com/news/1583335/four-year-old-girl-raped,,,
"6th October, 2020",Quetta,Balochistan,Woman kidnapped at gunpoint by armed men and father killed,Kidnapping,,Female,,,,,https://www.geo.tv/latest/311912-armed-men-allegedly-kidnap-woman-at-gunpoint-kill-father-in-process-in-quetta,,,
"6th October, 2020",Rawalpindi,Punjab,A woman was sexually assaulted by a man at gunpoint before her son on her way back on taxi from Attock,Rape at Gunpoint,,Female,,,,,https://www.dawn.com/news/1583427/woman-raped-by-taxi-driver,,,
6th October 2020,Faisalabad,Punjab,"Police have registered a case against a man on charges of raping his sister-in-law, who is a student.",Alleged rape,19,Female,,,,,https://tribune.com.pk/story/2267114/man-booked-for-allegedly-raping-sister-in-law,,,
"7th October, 2020",Charsada,KP,A two-year-old girl’s body was found after she was sexually assaulted and tortured in the province of Khyber Pakhtunkhwa in Pakistan on October 7.,Rape,2 years,Female,,,,,https://gulfnews.com/world/asia/pakistan/pakistan-body-found-after-torture-and-rape-of-two-year-old-from-khyber-pakhtunkhwas-charsadda-1.1602166537004,,,
"7th October, 2020",Qilla Abdullah district,Balochistan,unidentified persons raped and strangled the child to death in Kali Davian area in the suburbs of Killa Abdullah.,Rape and murder,8,Male,,,,,https://www.dawn.com/news/1584113/body-of-minor-boy-found-hanging-from-tree-after-rape-in-balochistans-killa-abdullah,,,
"7th October, 2020",Bannu,KP,Woman and man shot for alleged illicit relationship by husband of woman,Killed by Gunshot,,Female,,,,,https://www.urdupoint.com/en/pakistan/man-and-woman-shot-dead-for-illicit-relations-1049945.html,,,
"8th October, 2020",Lahore,Punjab,Woman abducted and tortured for rejecting marriage proposal of cousin,Torture,,Female,,,,,https://www.samaa.tv/news/pakistan/2020/10/lahore-woman-abducted-tortured-for-rejecting-marriage-proposal-police/,,,
"8th October, 2020",Karact,Sindh,"Body of woman stabbed to death found. Subsequent investigation led to the arrest of her husband for allegedly killing his wife on June 6, 2021.","Murder, domestic violence",,Female,,,,,https://www.thenews.com.pk/print/845575-man-killed-woman-and-minor-hurt-in-firing-incidents,,,
"9th October, 2020",Karachi,Sindh,A 10-year-old boy was raped in Keamari’s Jackson Market in Karachi,"Child abuse, rape",10,Male,,,,,https://www.samaa.tv/news/pakistan/2020/10/10-year-old-boy-harassed-in-karachis-keamari/,,,
"9th October, 2020",Chiniot,Punjab,A minor girl was raped by a shopkeeper in the shop in Chenab Naga. One of the friends of the shopkeeper made a footage of the rape with a mobile phone.,"Child abuse, rape",8,Female,,,,,https://www.dawn.com/news/1583970/shopkeeper-rapes-girl,,,
"9th October, 2020",Bhawalpur,Punjab,A domestic help raped the son of his employer in a locality of Channigoth city.,"Child abuse, rape","Unknown, but minor",Male,,,,,https://www.dawn.com/news/1583959/boy-raped-by-domestic-help,,,
"9th October, 2020",Lahore,Punjab,Girl shot and killed by brother for eloping with man who lived in their area,Honor Killing,17,Female,,,,,https://www.dawn.com/news/1583968/girl-shot-dead-by-brother-for-honour-in-lahore,,,
"11th October, 2020",Haripur,KP,Man arrested oncharges of sexually molesting his daughter in Sera-i-Saleh union council here.,"Child abuse, sexual assault",17,Female,,,,,https://www.dawn.com/news/1584404/afghan-held-for-assaulting-daughter-in-haripur,,,
"11th October, 2020",Toba Tek Singh,Punjab,`S’ of Mustafa Town told City Gojra police that he along with his wife was on way on a bike when two armed men also riding a bike stopped them near Chak 299-JB. He said the criminals took his wife at gunpoint to a nearby field where they subjected her to gang rape and escaped.,Gang rape,,Female,,,,,https://www.dawn.com/news/1591123/two-held-for-raping-woman,,,
"12th October, 2020",Sargodha,Punjab,Shehnaz Bibi killed by husband over domestic quarrel,Killed by Gunshot,29,Female,,,,,https://www.urdupoint.com/en/pakistan/two-women-killed-in-sargodha-1054195.html,,,
"12th October, 2020",Sargodha,Punjab,Iram Shehzadi shot by maternal cousin after her parents refused marriage proposal for their daughter,Killed by Gunshot,,Female,,,,,https://www.urdupoint.com/en/pakistan/two-women-killed-in-sargodha-1054195.html,,,
"12th October, 2020",Kasur,Punjab,"A woman was gang-raped at gun point by seven men, who hailed from Bheela village.",Gang rape,,Female,,,,,https://www.dawn.com/news/1585034,,,
"12th October, 2020",Kasur,Punjab,One case of attempted rape was also reported from the city.,Attempted rape,,Female,,,,,https://www.dawn.com/news/1585034,,,
"12th October, 2020",Kasur,Punjab,A man allegedly raped a 15-years-old girl in Noorpur Jattan village,"Child abuse, rape",15,Female,,,,,https://www.dawn.com/news/1585034,,,
"12th October, 2020",Kasur,Punjab,A woman from Gidhpur village was sexually assaulted by a man when she was alone at her house.,Sexual Assault,,Female,,,,,https://www.dawn.com/news/1585034,,,
"12th October, 2020",Kasur,Punjab,A three-year-old boy was sexually abused by a 12-year-old in Rati Pindi village,Child abuse,3,Male,,,,,https://www.dawn.com/news/1585034,,,
"12th October, 2020",Kasur,Punjab,A four-year-old boy was raped by a man in the fields in the Bonga Balochan village,"Child abuse, rape",4,Male,,,,,https://www.dawn.com/news/1584899/two-men-booked-for-assault-on-minor,,,
"12th October, 2020",Kasur,Punjab,A seven-year-old boy was allegedly sexually assaulted at an under-construction house in the Bhasarpura locality,"Child abuse, sexual assault",7,Male,,,,,https://www.dawn.com/news/1585034,,,
"12th October, 2020",Kasur,Punjab,"Hameed Town, where a man raped a 13-year-old boy who was his neighbour. ","Child abuse, rape",13,Male,,,,,https://www.dawn.com/news/1585034,,,
"12th October, 2020",Kasur,Punjab,"A case of attempted rape was registered at Sadar police station. According to the FIR, the suspect tried to sexually assault his sister-in-law but fled after she screamed.",Attempted rape,,Female,,,,,https://www.dawn.com/news/1585034,,,
"12th October, 2020",Zahir Pir,Punjab,Woman and daughter killed and beheaded,Honor killing,,Female,Female,,,,https://arynews.tv/en/honour-killing-south-punjab-mother/,,,
"13th October, 2020",Mian Channu,Punjab,Minor girl raped at gunpoint by cousin,Rape,13,Female,,,,,https://www.pakistantoday.com.pk/2020/10/13/minor-girl-raped-at-gunpoint-in-mian-channu/,,,
"13th October, 2020",Hafizabad,Punjab,Woman and her uncle shot and injured by husband after divorce suit filing,Gunshot injury,22,Female,,,,,https://en.baaghitv.com/woman-and-uncle-shot-at-injured-by-husband/,,,
"13th October, 2020",Karachi,Sindh,13 year old Christain girl abducted and forced into conversion into Islam and married to 44 year old man,"Child abuse, forced conversion, underage marriage",13,Female,,,,,https://www.dawn.com/news/1588201/underage-marriage-13-year-old-arzoo-recovered-after-shc-orders-says-wahab,,,
"14th, October, 2020",Chunian,Punjab,Married woman raped by man who entered house,Sexual Assault,,Female,,,,,https://www.thenews.com.pk/print/728924-locals-deprived-of-cash-valuables,,,
"14th October, 2020",Allah Abad,Punjab,Woman abducted by unknown men in bazaar,Kidnapping,,Female,,,,,https://www.thenews.com.pk/print/728924-locals-deprived-of-cash-valuables,,,
"16th October, 2020",Multan,Punjab,"Nine men gang-raped a woman in the presence of her husband, five children and brother-in-law and robbed the family of gold ornaments and cash in Multan",Gang rape,,Female,,,,,https://www.samaa.tv/news/pakistan/2020/10/multan-men-gang-rape-woman-in-familys-presence-during-house-robbery/,,,
"16th October, 2020",Lahore,Punjab,A teenage housemaid was found dead under mysterious circumstances in the house of her employer in the South Cantt area here on Thursday.,Murder,16,Female,,,,,https://www.dawn.com/news/1585242/maid-found-dead-at-employers-house,,,
"16th October, 2020",Rawalpindi,Punjab,Three women were short at after an altercation that resulted from non-consensual filming by the accused,Shooting,,Female,Female,Female,,,https://tribune.com.pk/epaper/news/Karachi/2020-10-16/NWMzOTRjYjgzMmVjZTdiNTRkZDM3NjkxZmFhOGYxZmQuanBlZw%3D%3D,,,
"18th Ocotober, 2020",Toba Tek Singh,Punjab,A woman was gang-raped by two unidentified men at gunpoint on her way home from Faisalabad to Toba Tek Singh,Gang rape,,Female,,,,,https://www.samaa.tv/news/2020/10/woman-attacked-in-front-of-husband-in-toba-tek-singh/,,,
"18th Ocotober, 2020",Bhawalnagar,Punjab,"A woman from Chak Saropa said a Mcleod Ganj Rural Health Centre official with his accomplice allegedly raped her daughter in the RHC on Aug 13. She alleged that after the incident, the influentials family members of the culprits and local panchait pressurized her to marry off her daughter with the alleged rapist.",Rape,"Unknown, but minor",Female,,,,,https://www.dawn.com/news/1585622/woman-seeks-action-against-alleged-rapist-of-daughter,,,
"19th October, 2020",Karachi,Sindh,"A woman and her daughter were shot dead in Shershah. The police claimed that one of the suspects, Abdul Razzaq, was the husband of the victim.",Murder,45 and 22,Female,Female,,,,https://www.dawn.com/news/1585822/woman-daughter-murdered,,,
"21st October, 2020",Natha Khan Goth,Sindh,A local court remanded in judicial custody a suspect detained for sexually assaulting a minor boy.,"Child abuse, sexual assault",3,Male,,,,,https://www.dawn.com/news/1586105/suspect-sent-to-jail-in-child-abuse-case,,,
"21st October, 2020",Hyderabad,Sindh,"The complainant said she was in her father’s house on Sunday when she heard cries outside. She said her brother-in-law (sister’s husband) Kaleem was beating her other sister, Rahila, aunt Noorjehan and niece Kashf.",Domestic violence,,Female,,,,,https://www.dawn.com/news/1586094/four-women-held-in-domestic-violence-case,,,
"24th October, 2020",Dadu,Sindh,A man was booked for killing his one-year-old daughter and attempting to kill his wife in Mugheri Dero village near Khairpur Nathan Shah town of Dadu district,Murder,1,Female,,,,,https://www.dawn.com/news/1586641/man-fires-on-wife-bullet-kills-daughter,,,
"24th October, 2020",Okara,Punjab,Gang members arrested for rape,Rape,,Female,,,,,https://www.dawn.com/news/1586838/gang-members-held-over-rape,,,
"25th October, 2020",Lahore,Punjab,The Garden Town police on Sunday arrested a policeman on charge of raping a theatre actress,Rape,,Female,,,,,https://www.dawn.com/news/1587061/policeman-held-for-raping-actress-in-lahore,,,
"25th October, 2020",Sargodha,Punjab,15 suspects involved in abduction and rape of two teenage sisters,"Child abuse, abduction, rape, robbery, blackmailing, non-consensual filming","Unknown, but minors",Female,Female,,,,https://tribune.com.pk/epaper/news/Lahore/2020-11-17/MjgzZjczZjIyYjg4MjAwMTA3YjJlYTA2NmE2MDgyMmUuanBlZw%3D%3D,,,
"26th October, 2020",Swabi,KP,A man sexually assaulted a seven-year-old boy in Parmuli village of Razaar tehsil,"Child abuse, sexual assault",7,Male,,,,,https://www.dawn.com/news/1587193/minor-boy-sexually-assaulted-in-swabi-village,,,
