Application Name||Description||Publisher||Version||Last Update||Installs||Android Compatability||Category||Functions||Audience||Useability Status||Playstore Rating||Playstore URL
Click ECP 2018||||ECP Official||1.1||23/5/2019||1,000+||4.3 and up||Elections||Information Provision, Registration Status, Complaint Mangement||General||Unuseable. Doesn't proceed beyond the loading page. ||2.4/5 (385)||https://play.google.com/store/apps/details?id=com.pk.click_ecp&hl=en&gl=US
CMS LGCD||An integrated complaint redressal mechanism for citizens by Local Government and Community Development Punjab||Punjab IT Board||1.0.3||19/07/2019||500+||4.0.3 and up||Governance, Accountability||Complaint Management||General||Unclear.||3.7/5 (9)||https://play.google.com/store/apps/details?id=com.pitb.LGCD&hl=en&gl=US
COT Classroom Observation||COT Classroom Observation is a tablet based monitoring form developed by PITB. This is used by Officials to evaluate teachers based on different performance indicators.||Punjab IT Board||2.8||12/10/2020||10,000+||4.3 and up||Education||Unclear||General||Useable, but only barely. Each update appears to erase data while the app is slow and littered with bugs. ||2/5 (259(||https://play.google.com/store/apps/details?id=com.pitb.dtemonitoring&hl=en&gl=US&showAllReviews=true
Covid-19 Tracker Lahore||This application provides Covid-19 stats for Lahore. By using radius alert feature users can view total number of Covid-19 cases around them. Users can view stats with in 1 KM area. Radius can be drawn anywhere in Lahore to view the stats. The app also provides list of precautionary measures and a contact us form.||Punjab IT Board||1||19/06/2020||1,000+||4.1 and up||COVID||Real Time Information Provision, Real Time Data Collection, Crisis Management||General||?||2.7/5 (10)||https://play.google.com/store/apps/details?id=pk.pitb.gov.covidtrackerlahore&hl=en&gl=US
CRVS||A well-functioning civil registration and vital statistics (CRVS) system registers all births and deaths, issues birth and death certificates, and compiles and disseminates vital statistics, including cause of death information. It may also record marriages and divorces||Punjab IT Board||1.0.32||20/09/2019||1,000+||4.1 and up||Civil Statistics||Data Collection, Issuing Birth/Death Certificates, Recording Marriages/Divorces||General||Largely useable||3.4/5 (14)||https://play.google.com/store/apps/details?id=com.pitb.BD&hl=en&gl=US
Dastkar||"Punjab Small Industries Corporation (PSIC) is a Statutory Body Corporate established under the Punjab Small Industries Corporation Act, 1973 for promotion of Small Scale Industry through:


a. Infrastructural facilities through establishment of Small Industrial Estates.
b. Establishment of Industrial Support Centres /Cluster Development Centres.
c. Development and promotion of Handicrafts/Crafts.
d. Credit Assistance to establish and promote small, cottage and household industries.
e. Census and Survey of Small Scale Industries.

Punjab Small Industries Corporation (PSIC) designed a scheme titled “Financial Support for Cottage Industries / Cluster Development” to provide credit to cottage industries in specified clusters of 12 Districts of Punjab with the revolving funds of Rs.300.00 million. Under the scheme loan upto Rs.300,000/- will be provided to eligible individuals with the repayment period of three (03) years."||Punjab IT Board||4||3/8/2020||1,000+||4.0.3 and up||Commerce, Microfinance||Loan provision||General||Unclear.||3,5/5 (6)||https://play.google.com/store/apps/details?id=com.pk.gov.pitb.hunarmand&hl=en&gl=US
Device Verification System (DVS) - DIRBS Pakistan||"Enter your device IMEI and search with PTA database for compliance. Based on compliance status you may get any of following results
Compliant
Non-compliant
Blocked

For further information, please visit www.dirbs.pta.gov.pk website"||Pakistan Telecommunication Authority - PTA||3.5||3/5/2021||5,000,000+||4.0 and up||Spec Service||IMEI Verification||General||Useable. Works great.||3.9/5 (11919)||https://play.google.com/store/apps/details?id=pk.gov.dirbs.dvspublic&hl=en
DGSE App For Differently Abled Persons.||This APP will inform the people /parents /guardians about the services/facilities available in the DGSE's centres / institutes as well as in the FDE schools for inclusive education. It will assist them in the selection of suitable educational institution near to their residence. They can apply online without Physical access to the relevant center. It will be very useful for the children with different abilities living in the slum areas of Islamabad. It also inform about the status of their submitted applications. It will be helpful to bring out of school differently-abled children in the education system. This application will connect them with the world around them.||National IT Board, Government Of Pakistan||1.1.1||13/04/2021||1,000+||4.4 and up||Education, Inclusivity||Service Locator||General||Useable. Works great.||4.5/5 (9)||https://play.google.com/store/apps/details?id=com.nitb.dgse&hl=en&gl=US
Domicile Management System||"Domicile app will facilitate General Public to verify online through Smart Phone
Domicile is an official document which is issued according to Pakistan Citizen Act 1951. The purpose of the document is to give identification to Citizen of Pakistan. Domicile Management System is introduced in 2011 for online issuance of domicile and maintain the database of domicile. Due to IT intervention in Government sector of Government of Punjab, there is need to facilitate the General Public to avoid unnecessary visits to DC offices, Domicile app is introduce among public for the facilitation of the public. Verification the domicile would be done through domicile app for now."||Punjab IT Board||1.2.2||4/5/2021||1,000+||4.2 and up||Housing||Unclear||General||Unclear.||2.9/5 (28)||https://play.google.com/store/apps/details?id=com.pitb.domicilepunjab&hl=en&gl=US
DSS (Disease Surveillance System)||Disease Reporting System (DRS) is an application developed by Punjab Information Technology Board in collaboration with Primary & Secondary Health care Department to capture patient consultations at RHCs and BHUs level. It captures complete patient data which includes all demographic and biographical information.||Punjab IT Board||1.1.0||22/12/2017||1,000+||4.0.3 and up||Health||Data Collection||General||Unclear.||2.9/5 (9)||https://play.google.com/store/apps/details?id=com.pitb.DRS&hl=en&gl=US
Durust Daam||"Durrast Dam App description:

‘Durust Daam’ (exact price) is the official android app of Islamabad Capital Territory (ICT) Administration to control the illegal profiteering by shopkeepers in the federal capital. This app is developed by National Technology Board (NTB) to facilitate the citizens of Islamabad. App also has a web based CMS to input latest rates.

Complaints redressal is through Pakistan Citizen Portal App as per directives of Prime Minister’s Office.

Features:

• Durrast Dam app is based on SAAS (Software as a Service) Platform Architecture.

• App users can get the latest and old rates of commodities.

• User can get the rates w.r.t different administrative sectors of Federal Capital.

• App provide rates against four main categories ,i.e Essential Commodities, Fruits, Vegetables and Poultry Items.

• On click of the single item, one can find detailed comparison of prices in different dates to find out trend in product price.

• Share option is there to share the price of a single commodity through various apps.

• Users can get prices w.r.t date after selecting a date from the calendar.

• Complaint resolution is through Pakistan Citizens portal app as per direction from Prime Minister’s office."||National IT Board, Government Of Pakistan||1.2.1||16/05/2020||50,000+||4.4 and up||Commerce||Information Provision, Complaint Management||General||Useable. Some people are facing login issues though. ||3.6/5 (463)||https://play.google.com/store/apps/details?id=com.govpk.durustdaam&hl=en&gl=US
Durust Daam Balochistan||"Durrast Dam Balochistan App description:

‘Durust Daam ’ (exact price) is the official android app of Government of Balochistan to control the illegal profiteering by shopkeepers in the Balochistan province. This app is developed by Science And Information Technology Department Balochistan to facilitate the citizens of Balochistan. App also has a web based CMS to input latest rates.

Complaints redressal is through Pakistan Citizen Portal App as per directives of Prime Minister’s Office.

Features:

• Durrast Dam app is based on SAAS (Software as a Service) Platform Architecture.

• App users can get the latest and old rates of commodities.

• User can get the rates w.r.t administrative sector of Government of Balochistan.

• App provide rates against four main categories, i.e Essential Commodities, Fruits, Vegetables and Poultry Items.

• On click of the single item, one can find detailed comparison of prices in different dates to find out trend in product price.

• Share option is there to share the price of a single commodity through various apps.

• Users can get prices w.r.t date after selecting a date from the calendar.

• Complaint resolution is through Pakistan Citizens portal app as per direction from Prime Minister’s office."||National IT Board, Government Of Pakistan||1.2.0||16/05/2020||1,000+||4.4 and up||Commerce||Information Provision, Complaint Management||General||Useable||2.3/5 (18)||https://play.google.com/store/apps/details?id=com.govpk.durustdaamquetta&hl=en&gl=US
DVR||Dengue Virus Report to accelerate the complaint registration process in HealthCMS||Punjab IT Board||1.2.2||16/05/2018||500+||2.3 and up||Health||Complaint Management||General||Unclear.||N/a||
E-Auction Excise and Taxation Punjab||"e-Auction Punjab number plate auction is a premium online service that provides user the opportunity to choose their desired plates in an online auction for others to bid on. It offers buyers an excellent opportunity to purchase registration marks securely in an online auction environment.

Users can participate in an online auction by following these steps:



•Download the e-Auction App

•Enter your online registration within three days of downloading app

•Choose your favorite number

•Take part in e-Auction

•Users must participate in the auction within three days of registration

Overseas Pakistanis can also take part in this auction"||Punjab IT Board||1.1.0||29/10/2020||10,000+||5.0 and up||Commerce||Online Marketplace||General||Unclear.||3.7/5 (230)||https://play.google.com/store/apps/details?id=com.pitb.eauction&hl=en_IN
eConnect||"eConnect' allows members / participants can Create, edit, schedule meeting. Members can access, navigate, read meeting agendas and meeting documents on their mobile device. Members can host a meeting and after admin approval meeting is available to their mobile dashboard. eConnect let members call, schedule or join video meetings with your phone or tablet.
Features:
1. Schedule Meeting
2. Link Zoom for Video call
3. Allow user to attach document etc
4. Push notification will be sent to members
5. User can share meeting details with other"||Punjab IT Board||1.0.0||30/03/2020||100+||4.1 and up||General||Unclear||General||Unclear.||N/a||https://play.google.com/store/apps/details?id=pk.pitb.gov.econnect&hl=en&gl=US
eGadget||application created so that stolen devices can be tracked||Punjab IT Board||1.4||30/05/2019||100,000+||4.0.3 and up||Policing/Spec Service||Unclear||General||Largely useable, although login and OTP's continue to be an issue without hte option for creating a new account||3.5/5 (702)||https://play.google.com/store/apps/details?id=com.pk.gov.pitb.egadget.monitoring&hl=en&gl=US
EIMS||"Educational Institutes Monitoring System
This application is an Initiative by National Command and Operation Center with the help of National Information Technology Board to gather health data from all Institutes of Pakistan.
Using this data major decisions will be made to handle health of students and provide help from Government of Pakistan."||National IT Board, Government Of Pakistan||1.0.1||2/1/2021||100+||6.0 and up||Health, Education||Data Collection||General||Unclear.||||
eLearn App||"eLearn is an educational app for an official repository of digitized textbooks developed under national curriculum. Each book has been augmented with Video Lectures, Illustrations, Animations, Simulations, and Interactive Assessments. Through this App, you can access Science and Maths textbooks for K12, which have been augmented with 13,047 Video Lectures, 592 Simulations, 2100 Audio minutes and 1,830 Animations. eLearn app is developed by Punjab Information Technology Board (PITB) in collaboration with Punjab Curriculum & Textbook Board and the School Education Department (SED).

The features of the App are:
• Science and Maths K12
• 9-10th Practical books
• Audiobooks
• Quizzes
• Animated Videos & Video lectures
• Simulations

The service is also available on Web app and Website to cater the need of public at large. The app covers all the learning concepts for (K12) Science and Maths, by giving access to conceptual learning, eLearn has made learning Fun.

One of the unique features is Audiobooks, listening to audiobooks while doing chores or while on the go is a great way to make use of your time.
Get to know us:
https://elearn.gov.pk/
Please also subscribe channel at YouTube
https://www.youtube.com/elearnk12
Like us on Facebook:
https://www.facebook.com/eLearnPunjab/

Partner & Sponsor Departments:
School Education Department: https://schools.punjab.gov.pk/
Punjab Information Technology Board: https://www.pitb.gov.pk/
Punjab Curriculum and Textbook Board: https://pctb.punjab.gov.pk/"||Punjab IT Board||4||15/04/2021||100,000+||4.2 and up||Education||Educational Material (Digital textbooks etc)||General||Useable. Perfectly Functioning||4.1/6 (2,626)||https://play.google.com/store/apps/details?id=com.Abdullah_Jillani.eLearnPunjabCONTENT&hl=en&gl=US
Election Monitoring Dashbaord||It’s an app for viewing the violation activities of CODE OF CONDUCT reported by users. As the concerned authorities have established this CODE OF CONDUCT for Election Campaign in Pakistan. This app is developed by Punjab Information Technology Board monitoring the election campaign.||Punjab IT Board||1.7||19/07/2018||1000+||4.0 and up||Elections, Accountabiility||Complaint Mangement||General||Unclear. There's a loogin process but no way to sign up. ||n/a||https://play.google.com/store/apps/details?id=pk.gov.pitb.pems.dashboard
eLGCD||"Considering the availability of funds with the local governments of Punjab, as per genuine demand from the field formations and to address the public grievances, the LG&CD Department has launched Punjab Municipal Services Program (PMSP) to ensure continuous delivery of municipal services across the Province through programmatic approach. The scope of work is as under:
• Rehabilitation of dysfunctional water supply schemes
• Rehabilitation of dysfunctional sewerage schemes
• Provision of solid waste / sewerage machinery & equipment
• Other works like street lighting, provision of manhole covers and repair work"||Punjab IT Board||2.2.0||30/09/2020||1,000+||4.4 and up||Municipial Services, Spec Service||Unclear||Field Officers||Unclear||2.9/5 (7)||https://play.google.com/store/apps/details?id=pk.gov.punjab.lgcd&hl=en&gl=US
eLGCD Punjab||"Considering the availability of funds with the local governments of Punjab, as per genuine demand from the field formations and to address the public grievances, the LG&CD Department has launched Annual Development Program to ensure continuous delivery of municipal services across the Province through programmatic approach.

Through this app filed officers will be able to monitor development schemes progress digitally. They can also geo-fence/tag boundaries of the government development schemes/programs and data will be available for better execution and monitoring of schemes.

Location is fetched in background when officers explicitly starts tracking by clicking start tracking button to geo-fence/tag boundaries of the government development schemes/programs."||Punjab IT Board||1.4.4||14/04/2021||500+||4.4 and up||Municipial Services, Spec Service||Unclear||Field Officers||Unclear||3.4/5 (10)||https://play.google.com/store/apps/details?id=pk.gov.punjab.elgcdpunjab&hl=en&gl=US
ePay Punjab||"What is e-Pay Punjab?

ePay Punjab is the first ever digital aggregator for Public to Government (P2G) and Business to Government (B2G) payments in Pakistan.

Using ePay Punjab, dues can be paid through the following four payment channels.

• Mobile Banking
• Internet Banking
• ATM
• OTC (Over the Counter) banking transaction

The solution is developed by The Punjab IT Board (PITB) under the instructions and guidance of The Finance Department of Punjab. At the backend it is integrated with State Bank of Pakistan (SBP) and 1-link for interconnectivity across the entire banking network in Pakistan.

Payment Process and Channels

To pay the tax dues, an individual will access e-Pay Punjab application or website to generate a 17-digit PSID number. The PSID number that is unique for each transaction could subsequently be used on the aforementioned four payment channels i.e. Mobile Banking, Internet Banking, ATM or OTC by the citizens to pay the tax dues.


Currently, following tax receipts can be paid via e-Pay Punjab:

Excise & Taxation

• Token Tax for Vehicle
• Motor Vehicle Registration
• Vehicle Transfer
• Property Tax
• Professional Tax
• Cotton fee

Board of Revenue (BOR)

• e Stamping
• Mutation fee
• Fard fee

Punjab Revenue Authority (PRA)

• Sales Tax on Services
• Punjab Infrastructural Development Cess

Industries

• Business Registration fee

Transport Department of Punjab

• Route Permit

Punjab Police

• Traffic Challan

Tax Descriptions

Token Tax for Vehicle: Annual tax paid by owners of motor vehicles.

Motor Vehicle Registration: One-time fee paid by the buyer of new
vehicle at the time of purchase.

Vehicle Transfer: Fee paid at the time of transfer of vehicle to a new owner.

Property Tax: Annual tax paid by property owners in urban areas.

Professional Tax: Taxes paid by the working professional on his profession on an annual basis.

Cotton Fee: Fee paid on raw cotton brought to ginning factory.

e-Stamping: Payment of stamp duties on judicial, non-judicial, CVT, registration and comparison fee.

Mutation Fee: Fee paid by the buyer at the time of transfer of property to a new owner.

Fard Fee: Fee paid by the owner of property for the issuance of property ownership document.

Sales Tax on Services: Taxes levied on service oriented business in the province of Punjab

Punjab Infrastructural Development Cess: Levy collected on transportation of goods manufactured, produced or consumed in, imported into or exported out of the Punjab.

Business Registration Fee: Fee paid by the owner to register his business.

Route Permit: Fees paid by owners of commercial vehicles for allotment / permission of specific routes for inter / intra city travel

Traffic Challan: Traffic Challan is the fine paid for violating traffic rules."||Punjab IT Board||1.45||14/06/2021||500,000+||6.0 and up||Commerce/microFinance||Tax and Fee Payment||General||Largely useable. The OTP and login issue remains. ||4/5 (4480)||https://play.google.com/store/apps/details?id=com.pitb.ePayGateway&hl=en&gl=US
e-Sahulat||NADRA launches the mobile app for e-Sahulat Franchisees. The all new feature-rich app is designed for the ease and convenience of both the franchise owners and their customers. The app is integrated with biometric capture devices for various citizen verification services offered by NADRA.Using this app, the e-Sahulat franchisee is able to offer many financial and verification services which were previously done through the desktop application. FEATURESFINANCIAL Services1. Domestic RemittancesSend or Receive Money from within Pakistan2. Online Pak-ID PaymentPay NADRA fees against any case applied through the Online Pak-ID system. Customers can also pay for expediting existing applications. 3. Government Program PaymentsCustomers can pay for the following Government of Pakistan programs; a. Punjab Arms Licenses b. Punjab Land Revenue Authority 4. Benazir Income Support ProgramBISP beneficiaries can receive payments using this serviceUtility Bill Payment1. Water Multan – MWASA Gujranwala – GWASA Karachi – KWSB Karachi – CDGK Lahore – LWASA Rawalpindi – RWASA Balochistan – BWASA Faisalabad – FWASA Peshawar – WSSP2. Electricity Islamabad – IESCO Peshawar – PESCO Sukkur – SEPCO Karachi – KESC Lahore – LESCO Faisalabad – FESCO Gujranwala – GEPCO Multan – MEPCO Hyderabaad – HESCO Quetta – QESCO3. Gas SNGPL – Sui Northern Gas Pipeline Company SSGC – Sui Southern Gas Company4. Telephone PTCL SCO Wi-Tribe uFone5. Other Kashf Microfinance Bank Shifa Foundation Sahara for Life Trust Damen Development Action for Mobilization and Emancipation Virtual University Shalamar Hospital Shaukat Khanum Memorial Cancer Hospital EFU Life Insurance eSahulat Branchless Banking OCS Pakistan Private Limted Naya Pakistan Housing Program HBL ExpressMobile Recharge1. Buy Scratch Cards2. Easy LoadCitizen Verification Services1. CNIC Verification Simple CNIC Verification Service 2. Excise and Taxation Office – Biometric Verification Biometric Verification Service for ETO Islamabad. This service is used for vehicle transfer cases. Terms and ConditionsThe use of this app is governed by the Terms and Conditions laid out in the NADRA e-Sahulat Franchisee Agreement.||National Database & Registration Authority||1.2.11||26/11/2020||100,000+||5.0 and up||General||Unclear||General||Somewhat unclear. Crashes on some android devices. ||3/5 (663)||https://play.google.com/store/apps/details?id=pk.gov.nadra.eSahulat.app&hl=en&gl=US
e-Taleem||"“E-Taleem” an online digital smart-phone application. Principally “E-Taleem” App is developed to gear-up the educational system and provision of online educational-lectures for school-going children in the on-going pandemic. The official serviceability and technology owner is National Information Technology Board (NITB). The app is officially developed, designed and managed by the National Information Technology Board (NITB), commissioned by the Ministry of Information technology & Telecom (MoITT). Application provides a flexible environment to study from the comfort of home.

Features:
• Flexible Environment
• Provides Digital Education
• Offers Distance Learning
• Tele-school Education
• Radio School Education
• High-Quality Lectures of Class (01 to 08)"||National IT Board, Government Of Pakistan||1.1||4/13/2021||Playstore: 100+ ||Android 5.0+||Education||Unclear||General||Useable||2.8/5 (5)||https://play.google.com/store/apps/details?id=com.nitb.e_taleem
FMIS||The Forest Management Information System (FMIS) is envisaged as an integrated system which will be used to support the planning, implementation and monitoring of multi-objective forest management activities. Forest Management Information Systems (FMIS) combine GIS-related information and attribute databases to a powerful information retrieval, analytical and decision support tool.||Punjab IT Board||1||11/11/2019||100+||4.1 and up||Environment||Unclear||General||Unclear.||N/a||https://play.google.com/store/apps/details?id=pk.gov.pitb.fmis&hl=en&gl=US
Franchising Application PWD||Punjab IT Board has developed this application for MEA Population Welfare Department of Punjab. The purpose of this application is to monitor family health clinics and family welfare departments of Punjab by getting real time data of visits and provided contraceptives.||Punjab IT Board||1.4||5/31/2021||500+||4.1 and up||Health||Real Time Data Collection||General||Unclear||N/a||https://play.google.com/store/apps/details?id=pitb.gov.pk.clinicalservices&hl=en&gl=US
GOP Monitoring||"This application will be used by higher management of Punjab Government to report real time situation about following major areas

1- Laboratories working for COVID-19
2- Quarantine Facilities for COVID
3- COVID-19 SOP Compliance for Offices/Public Areas
4- Wheat Procurement
5- Dengue Control
6- Locust Control
7- Supply Chain (Market visits and reporting on spot checking for price control)

This will help the central management to review the current situation and take informed decisions as well as policy making to support government decisions."||Punjab IT Board||1||21/05/2020||50+||4.1 and up||COVID||Real Time Information Provision, Real Time Data Collection, Crisis Management||Punjab Government Officials||Unclear||N/a||https://play.google.com/store/apps/details?id=pk.pitb.gov.gopmonitoring&hl=en&gl=US
Greater Iqbal Park Tour Guide||"This application facilitates tourists to explore Greater Iqbal Park Lahore in following ways,

i) Tourists can check list of all sites with their pictures
ii) Providing option of filtering according to category.
iii) Showing interactive map with tagged locations of sites.
iv) Drawing shortest path from user's location to destination"||Punjab IT Board||1||24/04/2018||100+||4.0 and up||Tourism||Information Provision||General||Useable. Perfectly Functioning||4.2/5 (5)||https://play.google.com/store/apps/details?id=govt.pitb.gip&hl=en&gl=US
Ham Watan||Ham Watan is an interactive application to facilitate overseas Pakistanis working in Saudi Arabia. The application provides a swift medium for overseas Pakistanis to lodge their complaints and queries regarding Dispute with Employer, Detention & Consular Access, Insurance & Diyat, End of Service Benefits, FERC/OPF Cards, Legal Assistance, Deportation, Deportation, General complaints, TOR forms, MRP and NADRA. Moreover, information regarding various services provided by Pakistan Embassy is also available in the application along with frequently asked questions.||Punjab IT Board||2||18/12/2018||5,000+||4.0.3 and up||Other||Complaint Management, General Facilitation||Oversea Pakistanis working in Saudi Arabia||Unclear||3,2/5 (125)||https://play.google.com/store/apps/details?id=com.pk.gov.pitb.hamwatan&hl=en&gl=US
Hospital Information System||Hospital Information Management System (HIMS) - Smartest way to locate the healthcare facilities including; BHUs, RHCs, THQs, and DHQs across Punjab. You may also search nearby hospitals by single click.||Punjab IT Board||1.0.5||28/03/2019||1,000+||4.0 and up||Health||Information Provision, Service Locator||General||Unclear||3,5/5 (15)||https://play.google.com/store/apps/details?id=com.PITB.hospitalinformation&hl=en&gl=US
Insaf Imdad||Submit financial aid applications to the Govt. of Punjab, which will be assessed and verified and the processed to give financial support to the applicant||Punjab IT Board||1.6.0||10/4/2020||1,000,000+||4.1 and up||Commerce/microFinance||Financial Aid Applications||General||Useable||3.9/5 (15288)||https://play.google.com/store/apps/details?id=pk.pitb.gov.insafimdad&hl=en&gl=US
ITSP||Quaid-e-Azam Academy for Educational Development (QAED) is the attached School Education Department responsible for teacher training in Punjab. Under PESP 3, Cambridge Education is working with the QAED to develop an innovative teacher support package (ITSP). Its a course for teachers developed using a blended learning approach.||Punjab IT Board||1||2/2/2021||100,000+||5.0 and up||Education||Unclear||General||Useable||3/5 (425)||https://play.google.com/store/apps/details?id=io.edu.innovative&hl=en&gl=US
